"cnae_fiscal","descricao"
"4649401","Comércio atacadista de equipamentos elétricos de uso pessoal e doméstico"
"4623105","Comércio atacadista de cacau"
"4912401","Transporte ferroviário de passageiros intermunicipal e interestadual"
"4543900","Manutenção e reparação de motocicletas e motonetas"
"0111302","Cultivo de milho"
"4763602","Comércio varejista de artigos esportivos"
"0312403","Coleta de outros produtos aquáticos de água doce"
"4774100","Comércio varejista de artigos de óptica"
"1732000","Fabricação de embalagens de cartolina e papel-cartão"
"0210103","Cultivo de pinus"
"6821802","Corretagem no aluguel de imóveis"
"1742799","Fabricação de produtos de papel para uso doméstico e higiênico-sanitário não especificados anteriormente"
"6120501","Telefonia móvel celular"
"1540800","Fabricação de partes para calçados, de qualquer material"
"2943300","Fabricação de peças e acessórios para o sistema de freios de veículos automotores"
"2092402","Fabricação de artigos pirotécnicos"
"0132600","Cultivo de uva"
"0899199","Extração de outros minerais não-metálicos não especificados anteriormente"
"7723300","Aluguel de objetos do vestuário, jóias e acessórios"
"1020102","Fabricação de conservas de peixes, crustáceos e moluscos"
"7320300","Pesquisas de mercado e de opinião pública"
"4330404","Serviços de pintura de edifícios em geral"
"5091202","Transporte por navegação de travessia intermunicipal, interestadual e internacional"
"6810201","Compra e venda de imóveis próprios"
"2732500","Fabricação de material elétrico para instalações em circuito de consumo"
"2822401","Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios"
"2121102","Fabricação de medicamentos homeopáticos para uso humano"
"4223500","Construção de redes de transportes por dutos, exceto para água e esgoto"
"6499999","Outras atividades de serviços financeiros não especificadas anteriormente"
"9603305","Serviços de somatoconservação"
"1122404","Fabricação de bebidas isotônicas"
"6201501","Desenvolvimento de programas de computador sob encomenda"
"2811900","Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários"
"4511101","Comércio a varejo de automóveis, camionetas e utilitários novos"
"2229301","Fabricação de artefatos de material plástico para uso pessoal e doméstico"
"6542100","Previdência complementar aberta"
"2592602","Fabricação de produtos de trefilados de metal, exceto padronizados"
"1539400","Fabricação de calçados de materiais não especificados anteriormente"
"2721000","Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores"
"9001906","Atividades de sonorização e de iluminação"
"6912500","Cartórios"
"2442300","Metalurgia dos metais preciosos"
"1099602","Fabricação de pós alimentícios"
"8591100","Ensino de esportes"
"8650099","Atividades de profissionais da área de saúde não especificadas anteriormente"
"6190602","Provedores de voz sobre protocolo internet - VOIP"
"8630599","Atividades de atenção ambulatorial não especificadas anteriormente"
"2311700","Fabricação de vidro plano e de segurança"
"4645102","Comércio atacadista de próteses e artigos de ortopedia"
"0220901","Extração de madeira em florestas nativas"
"5211799","Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis"
"8640207","Serviços de diagnóstico por imagem sem uso de radiação ionizante, exceto ressonância magnética"
"7490199","Outras atividades profissionais, científicas e técnicas não especificadas anteriormente"
"1113502","Fabricação de cervejas e chopes"
"6434400","Agências de fomento"
"3329501","Serviços de montagem de móveis de qualquer material"
"7319001","Criação de estandes para feiras e exposições"
"5813100","Edição de revistas"
"6022501","Programadoras"
"1721400","Fabricação de papel"
"5510803","Motéis"
"1742702","Fabricação de absorventes higiênicos"
"7119799","Atividades técnicas relacionadas à engenharia e arquitetura não especificadas anteriormente"
"3291400","Fabricação de escovas, pincéis e vassouras"
"8660700","Atividades de apoio à gestão de saúde"
"4511105","Comércio por atacado de reboques e semi-reboques novos e usados"
"3316302","Manutenção de aeronaves na pista"
"2829199","Fabricação de outras máquinas e equipamentos de uso geral não especificados anteriormente, peças e acessórios"
"0141501","Produção de sementes certificadas, exceto de forrageiras para pasto"
"4541202","Comércio por atacado de peças e acessórios para motocicletas e motonetas"
"6450600","Sociedades de capitalização"
"0321304","Criação de peixes ornamentais em água salgada e salobra"
"4399105","Perfuração e construção de poços de água"
"2123800","Fabricação de preparações farmacêuticas"
"1064300","Fabricação de farinha de milho e derivados, exceto óleos de milho"
"1012102","Abate de pequenos animais"
"1032501","Fabricação de conservas de palmito"
"4744004","Comércio varejista de cal, areia, pedra britada, tijolos e telhas"
"2014200","Fabricação de gases industriais"
"4679603","Comércio atacadista de vidros, espelhos, vitrais e molduras"
"2399199","Fabricação de outros produtos de minerais não-metálicos não especificados anteriormente"
"4761002","Comércio varejista de jornais e revistas"
"8650002","Atividades de profissionais da nutrição"
"1069400","Moagem e fabricação de produtos de origem vegetal não especificados anteriormente"
"0710302","Pelotização, sinterização e outros beneficiamentos de minério de ferro"
"4681805","Comércio atacadista de lubrificantes"
"0119908","Cultivo de melancia"
"6438701","Bancos de câmbio"
"0723501","Extração de minério de manganês"
"4651602","Comércio atacadista de suprimentos para informática"
"9329803","Exploração de jogos de sinuca, bilhar e similares"
"4322303","Instalações de sistema de prevenção contra incêndio"
"8640299","Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente"
"4222702","Obras de irrigação"
"4642702","Comércio atacadista de roupas e acessórios para uso profissional e de segurança do trabalho"
"4641902","Comércio atacadista de artigos de cama, mesa e banho"
"8630501","Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos"
"6621501","Peritos e avaliadores de seguros"
"3299003","Fabricação de letras, letreiros e placas de qualquer material, exceto luminosos"
"5620103","Cantinas - serviços de alimentação privativos"
"0151202","Criação de bovinos para leite"
"4530706","Representantes comerciais e agentes do comércio de peças e acessórios novos e usados para veículos automotores"
"4713005","Lojas francas (Duty free) de aeroportos, portos e em fronteiras terrestres"
"0161099","Atividades de apoio à agricultura não especificadas anteriormente"
"2019301","Elaboração de combustíveis nucleares"
"8630503","Atividade médica ambulatorial restrita a consultas"
"7119702","Atividades de estudos geológicos"
"4621400","Comércio atacadista de café em grão"
"1622602","Fabricação de esquadrias de madeira e de peças de madeira para instalações industriais e comerciais"
"3311200","Manutenção e reparação de tanques, reservatórios metálicos e caldeiras, exceto para veículos"
"6110899","Serviços de telecomunicações por fio não especificados anteriormente"
"4633803","Comércio atacadista de coelhos e outros pequenos animais vivos para alimentação"
"3011301","Construção de embarcações de grande porte"
"4789006","Comércio varejista de fogos de artifício e artigos pirotécnicos"
"8730101","Orfanatos"
"1529700","Fabricação de artefatos de couro não especificados anteriormente"
"3839499","Recuperação de materiais não especificados anteriormente"
"2814301","Fabricação de compressores para uso industrial, peças e acessórios"
"2122000","Fabricação de medicamentos para uso veterinário"
"5120000","Transporte aéreo de carga"
"0133407","Cultivo de maçã"
"5022001","Transporte por navegação interior de passageiros em linhas regulares, municipal, exceto travessia"
"0151201","Criação de bovinos para corte"
"2451200","Fundição de ferro e aço"
"3314701","Manutenção e reparação de máquinas motrizes não-elétricas"
"2423701","Produção de tubos de aço sem costura"
"8622400","Serviços de remoção de pacientes, exceto os serviços móveis de atendimento a urgências"
"2443100","Metalurgia do cobre"
"4923002","Serviço de transporte de passageiros - locação de automóveis com motorista"
"2591800","Fabricação de embalagens metálicas"
"7112000","Serviços de engenharia"
"1413401","Confecção de roupas profissionais, exceto sob medida"
"0119904","Cultivo de cebola"
"7410203","Design de produto"
"4511103","Comércio por atacado de automóveis, camionetas e utilitários novos e usados"
"9420100","Atividades de organizações sindicais"
"9412099","Outras atividades associativas profissionais"
"9512600","Reparação e manutenção de equipamentos de comunicação"
"5510801","Hotéis"
"7711000","Locação de automóveis sem condutor"
"4665600","Comércio atacadista de máquinas e equipamentos para uso comercial; partes e peças"
"1830003","Reprodução de software em qualquer suporte"
"1033301","Fabricação de sucos concentrados de frutas, hortaliças e legumes"
"7420003","Laboratórios fotográficos"
"1220403","Fabricação de filtros para cigarros"
"1340502","Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário"
"6190699","Outras atividades de telecomunicações não especificadas anteriormente"
"4772500","Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal"
"2813500","Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios"
"4622200","Comércio atacadista de soja"
"4755503","Comercio varejista de artigos de cama, mesa e banho"
"4771703","Comércio varejista de produtos farmacêuticos homeopáticos"
"5912002","Serviços de mixagem sonora em produção audiovisual"
"4689301","Comércio atacadista de produtos da extração mineral, exceto combustíveis"
"8550301","Administração de caixas escolares"
"2833000","Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação"
"3314720","Manutenção e reparação de máquinas e equipamentos para a indústria têxtil, do vestuário, do couro e calçados"
"3250705","Fabricação de materiais para medicina e odontologia"
"8650004","Atividades de fisioterapia"
"6203100","Desenvolvimento e licenciamento de programas de computador não-customizáveis"
"4783101","Comércio varejista de artigos de joalheria"
"8592902","Ensino de artes cênicas, exceto dança"
"3250701","Fabricação de instrumentos não-eletrônicos e utensílios para uso médico, cirúrgico, odontológico e de laboratório"
"0810007","Extração de argila e beneficiamento associado"
"6141800","Operadoras de televisão por assinatura por cabo"
"0116402","Cultivo de girassol"
"5590699","Outros alojamentos não especificados anteriormente"
"5819100","Edição de cadastros, listas e de outros produtos gráficos"
"8299799","Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente"
"4756300","Comércio varejista especializado de instrumentos musicais e acessórios"
"8610102","Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências"
"4623101","Comércio atacadista de animais vivos"
"1311100","Preparação e fiação de fibras de algodão"
"5030101","Navegação de apoio marítimo"
"5914600","Atividades de exibição cinematográfica"
"2093200","Fabricação de aditivos de uso industrial"
"0810006","Extração de areia, cascalho ou pedregulho e beneficiamento associado"
"5112901","Serviço de táxi aéreo e locação de aeronaves com tripulação"
"7410202","Design de interiores"
"5912001","Serviços de dublagem"
"2853400","Fabricação de tratores, peças e acessórios, exceto agrícolas"
"4673700","Comércio atacadista de material elétrico"
"1099699","Fabricação de outros produtos alimentícios não especificados anteriormente"
"0210102","Cultivo de acácia-negra"
"0139399","Cultivo de outras plantas de lavoura permanente não especificadas anteriormente"
"2439300","Produção de outros tubos de ferro e aço"
"2910703","Fabricação de motores para automóveis, camionetas e utilitários"
"4623108","Comércio atacadista de matérias-primas agrícolas com atividade de fracionamento e acondicionamento associada"
"1220401","Fabricação de cigarros"
"1099604","Fabricação de gelo comum"
"4512902","Comércio sob consignação de veículos automotores"
"1092900","Fabricação de biscoitos e bolachas"
"2651500","Fabricação de aparelhos e equipamentos de medida, teste e controle"
"6461100","Holdings de instituições financeiras"
"3701100","Gestão de redes de esgoto"
"0139305","Cultivo de dendê"
"7739002","Aluguel de equipamentos científicos, médicos e hospitalares, sem operador"
"6424701","Bancos cooperativos"
"2219600","Fabricação de artefatos de borracha não especificados anteriormente"
"2941700","Fabricação de peças e acessórios para o sistema motor de veículos automotores"
"8299702","Emissão de vales-alimentação, vales-transporte e similares"
"3314703","Manutenção e reparação de válvulas industriais"
"6438799","Outras instituições de intermediação não-monetária não especificadas anteriormente"
"3250709","Serviço de laboratório óptico"
"7721700","Aluguel de equipamentos recreativos e esportivos"
"6431000","Bancos múltiplos, sem carteira comercial"
"1065103","Fabricação de óleo de milho refinado"
"2033900","Fabricação de elastômeros"
"3600602","Distribuição de água por caminhões"
"6810203","Loteamento de imóveis próprios"
"4643502","Comércio atacadista de bolsas, malas e artigos de viagem"
"3530100","Produção e distribuição de vapor, água quente e ar condicionado"
"3032600","Fabricação de peças e acessórios para veículos ferroviários"
"0810010","Beneficiamento de gesso e caulim associado à extração"
"4729601","Tabacaria"
"9492800","Atividades de organizações políticas"
"3513100","Comércio atacadista de energia elétrica"
"9609208","Higiene e embelezamento de animais domésticos"
"0990401","Atividades de apoio à extração de minério de ferro"
"0135100","Cultivo de cacau"
"9521500","Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico"
"0892402","Extração de sal-gema"
"6436100","Sociedades de crédito, financiamento e investimento - financeiras"
"2670102","Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios"
"0220906","Conservação de florestas nativas"
"8650006","Atividades de fonoaudiologia"
"4679602","Comércio atacadista de mármores e granitos"
"1822901","Serviços de encadernação e plastificação"
"0220905","Coleta de palmito em florestas nativas"
"9609206","Serviços de tatuagem e colocação de piercing"
"4211102","Pintura para sinalização em pistas rodoviárias e aeroportos"
"9609207","Alojamento de animais domésticos"
"4647801","Comércio atacadista de artigos de escritório e de papelaria"
"6142600","Operadoras de televisão por assinatura por microondas"
"1095300","Fabricação de especiarias, molhos, temperos e condimentos"
"0155505","Produção de ovos"
"3313999","Manutenção e reparação de máquinas, aparelhos e materiais elétricos não especificados anteriormente"
"0321305","Atividades de apoio à aqüicultura em água salgada e salobra"
"4744002","Comércio varejista de madeira e artefatos"
"4520005","Serviços de lavagem, lubrificação e polimento de veículos automotores"
"2330302","Fabricação de artefatos de cimento para uso na construção"
"1220499","Fabricação de outros produtos do fumo, exceto cigarros, cigarrilhas e charutos"
"0114800","Cultivo de fumo"
"4672900","Comércio atacadista de ferragens e ferramentas"
"2722802","Recondicionamento de baterias e acumuladores para veículos automotores"
"2910702","Fabricação de chassis com motor para automóveis, camionetas e utilitários"
"0729402","Extração de minério de tungstênio"
"1622699","Fabricação de outros artigos de carpintaria para construção"
"4329101","Instalação de painéis publicitários"
"0721901","Extração de minério de alumínio"
"3091101","Fabricação de motocicletas"
"4311801","Demolição de edifícios e outras estruturas"
"1072401","Fabricação de açúcar de cana refinado"
"1710900","Fabricação de celulose e outras pastas para a fabricação de papel"
"3240001","Fabricação de jogos eletrônicos"
"9609299","Outras atividades de serviços pessoais não especificadas anteriormente"
"4637102","Comércio atacadista de açúcar"
"0119901","Cultivo de abacaxi"
"8112500","Condomínios prediais"
"4530702","Comércio por atacado de pneumáticos e câmaras-de-ar"
"4322302","Instalação e manutenção de sistemas centrais de ar condicionado, de ventilação e refrigeração"
"4785799","Comércio varejista de outros artigos usados"
"8711505","Condomínios residenciais para idosos e deficientes físicos"
"6512000","Sociedade seguradora de seguros não vida"
"4724500","Comércio varejista de hortifrutigranjeiros"
"4752100","Comércio varejista especializado de equipamentos de telefonia e comunicação"
"9329801","Discotecas, danceterias, salões de dança e similares"
"6422100","Bancos múltiplos, com carteira comercial"
"5250804","Organização logística do transporte de carga"
"1323500","Tecelagem de fios de fibras artificiais e sintéticas"
"7500100","Atividades veterinárias"
"3321000","Instalação de máquinas e equipamentos industriais"
"4639702","Comércio atacadista de produtos alimentícios em geral, com atividade de fracionamento e acondicionamento associada"
"0722702","Beneficiamento de minério de estanho"
"2539002","Serviços de tratamento e revestimento em metais"
"6920602","Atividades de consultoria e auditoria contábil e tributária"
"1032599","Fabricação de conservas de legumes e outros vegetais, exceto palmito"
"4929902","Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional"
"5231101","Administração da infra-estrutura portuária"
"4687702","Comércio atacadista de resíduos e sucatas não-metálicos, exceto de papel e papelão"
"8690901","Atividades de práticas integrativas e complementares em saúde humana"
"3511501","Geração de energia elétrica"
"4789004","Comércio varejista de animais vivos e de artigos e alimentos para animais de estimação"
"0892403","Refino e outros tratamentos do sal"
"4511104","Comércio por atacado de caminhões novos e usados"
"0133408","Cultivo de mamão"
"8640213","Serviços de litotripcia"
"4763605","Comércio varejista de embarcações e outros veículos recreativos; peças e acessórios"
"4618402","Representantes comerciais e agentes do comércio de instrumentos e materiais odonto-médico-hospitalares"
"1532700","Fabricação de tênis de qualquer material"
"3319800","Manutenção e reparação de equipamentos e produtos não especificados anteriormente"
"4783102","Comércio varejista de artigos de relojoaria"
"8730199","Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente"
"2550102","Fabricação de armas de fogo, outras armas e munições"
"4542102","Comércio sob consignação de motocicletas e motonetas"
"1061902","Fabricação de produtos do arroz"
"8130300","Atividades paisagísticas"
"4789007","Comércio varejista de equipamentos para escritório"
"2423702","Produção de laminados longos de aço, exceto tubos"
"4530703","Comércio a varejo de peças e acessórios novos para veículos automotores"
"8711503","Atividades de assistência a deficientes físicos, imunodeprimidos e convalescentes"
"1629301","Fabricação de artefatos diversos de madeira, exceto móveis"
