"uf","descricao"
"RS","TORRES"
"RS","HARMONIA"
"RN","LAGOA DE VELHOS"
"PI","PAQUETA"
"CE","CARIUS"
"PA","BELEM"
"CE","CANINDE"
"RN","FELIPE GUERRA"
"PE","CORRENTES"
"MG","SAO MIGUEL DO ANTA"
"GO","LAGOA SANTA"
"RS","FLORES DA CUNHA"
"RN","CORONEL JOAO PESSOA"
"RS","ESTRELA"
"SE","MURIBECA"
"MG","LAMBARI"
"RS","TRES FORQUILHAS"
"ES","SAO DOMINGOS DO NORTE"
"SP","ATIBAIA"
"MG","PARAISOPOLIS"
"MG","CONSOLACAO"
"PA","PORTEL"
"SC","POMERODE"
"MT","LUCIARA"
"MG","JUVENILIA"
"SC","RIO NEGRINHO"
"RS","CONDOR"
"MG","CHAPADA GAUCHA"
"SP","ITAPEVI"
"RN","JOSE DA PENHA"
"AL","MESSIAS"
"MG","BARROSO"
"PI","LAGOA DO PIAUI"
"MG","COROACI"
"PB","ALHANDRA"
"AL","TANQUE D'ARCA"
"RN","RIACHO DA CRUZ"
"MG","SANTANA DO DESERTO"
"SP","ESTRELA D'OESTE"
"PE","TACARATU"
"SP","SANTOS"
"MG","SANTO ANTONIO DO AVENTUREIRO"
"CE","CHOROZINHO"
"PB","PIRPIRITUBA"
"RS","GARIBALDI"
"MG","LEME DO PRADO"
"MA","BREJO DE AREIA"
"PB","TACIMA"
"SP","SANTA FE DO SUL"
"PI","CURIMATA"
"RS","SAO LOURENCO DO SUL"
"MG","BELO HORIZONTE"
"PI","SANTO ANTONIO DOS MILAGRES"
"PR","SANTO ANTONIO DO PARAISO"
"PE","ALIANCA"
"SE","SAO CRISTOVAO"
"CE","BOA VIAGEM"
"SC","TIGRINHOS"
"PA","PACAJA"
"BA","ARACI"
"MG","IPUIUNA"
"MG","OURO PRETO"
"MG","URUANA DE MINAS"
"SC","AURORA"
"PA","MARABA"
"RN","BREJINHO"
"MG","SANTOS DUMONT"
"PR","ALTAMIRA DO PARANA"
"PA","MELGACO"
"RS","MUITOS CAPOES"
"PE","JOAO ALFREDO"
"SP","BOFETE"
"MG","UBERLANDIA"
"MS","NOVA ALVORADA DO SUL"
"RR","BONFIM"
"MG","ICARAI DE MINAS"
"MG","PITANGUI"
"GO","GUAPO"
"MG","AMPARO DA SERRA"
"BA","SANTA CRUZ DA VITORIA"
"MG","CASA GRANDE"
"AM","HUMAITA"
"PE","IPUBI"
"GO","DAVINOPOLIS"
"MG","MONTE BELO"
"SP","APARECIDA"
"MG","ITAMONTE"
"SP","FLORIDA PAULISTA"
"PE","LIMOEIRO"
"MT","CHAPADA DOS GUIMARAES"
"SC","AGUAS MORNAS"
"SP","ITAI"
"MG","LAGOA SANTA"
"SP","MIRACATU"
"ES","IRUPI"
"MG","BARAO DO MONTE ALTO"
"BA","UBAITABA"
"MG","URUCUIA"
"MT","NOVA LACERDA"
"PA","GOIANESIA DO PARA"
"PR","SAO JOAO"
"SP","PIACATU"
"GO","URUANA"
"SP","GUARULHOS"
"MG","GUANHAES"
"RS","GLORINHA"
"CE","SAO JOAO DO JAGUARIBE"
"MT","CAMPOS DE JULIO"
"PA","CONCORDIA DO PARA"
"PR","PONTA GROSSA"
"RS","CAICARA"
"PB","ARARUNA"
"CE","JUAZEIRO DO NORTE"
"PB","CONGO"
"TO","PRAIA NORTE"
"RS","MARQUES DE SOUZA"
"RO","PIMENTEIRAS DO OESTE"
"SP","MOGI-GUACU"
"CE","CAPISTRANO"
"SC","SANTA TEREZINHA"
"SP","PARANAPUA"
"SC","IOMERE"
"MG","SACRAMENTO"
"MT","TABAPORA"
"MA","MARANHAOZINHO"
"RS","CIDREIRA"
"MG","ESPINOSA"
"CE","SANTANA DO ACARAU"
"SP","CAPIVARI"
"RS","AMARAL FERRADOR"
"AL","MURICI"
"PR","GUARAQUECABA"
"CE","GENERAL SAMPAIO"
"PR","DIAMANTE DO NORTE"
"PR","UMUARAMA"
"AC","SANTA ROSA DO PURUS"
"RS","ARROIO DO TIGRE"
"SC","ROMELANDIA"
"SC","RIO DO CAMPO"
"GO","VARJAO"
"ES","AGUIA BRANCA"
"SP","BROTAS"
"BA","DIAS D'AVILA"
"RS","CARLOS BARBOSA"
"PR","SIQUEIRA CAMPOS"
"MG","CONCEICAO DE IPANEMA"
"RS","CANOAS"
"PA","SAO JOAO DE PIRABAS"
"MS","PARAISO DAS AGUAS"
"PI","CARACOL"
"PI","MIGUEL ALVES"
"RJ","RIO DE JANEIRO"
"SC","CAMPOS NOVOS"
"PI","SAO JOSE DO PEIXE"
"RS","SAO JOAO DA URTIGA"
"RN","MAJOR SALES"
"RS","SERIO"
"SP","SANTO ANTONIO DA ALEGRIA"
"MG","SETE LAGOAS"
"RS","RIO GRANDE"
"GO","BURITINOPOLIS"
"MA","SANTA LUZIA"
"MG","JOSENOPOLIS"
"SC","SAUDADES"
"MG","MORRO DO PILAR"
"MA","HUMBERTO DE CAMPOS"
"SC","PRAIA GRANDE"
"PE","TUPARETAMA"
"MG","MONTE SIAO"
"SC","ILHOTA"
"SE","RIACHUELO"
"PI","LANDRI SALES"
"MG","SANTA BARBARA DO MONTE VERDE"
"CE","AMONTADA"
"BA","IUIU"
"PR","PINHAL DE SAO BENTO"
"TO","SANTA RITA DO TOCANTINS"
"MT","BARAO DE MELGACO"
"MG","VOLTA GRANDE"
"PB","JOCA CLAUDINO"
"MG","EXTREMA"
"MG","DELTA"
"MA","SANTO AMARO DO MARANHAO"
"SP","GUARACI"
"RN","VILA FLOR"
"MG","ENTRE FOLHAS"
"RS","PAVERAMA"
"TO","ITACAJA"
"PB","CAPIM"
"MG","SAO JOAO EVANGELISTA"
"MG","COMERCINHO"
"RS","SELBACH"
"RJ","MACUCO"
"PA","SENADOR JOSE PORFIRIO"
"PA","IGARAPE-MIRI"
"RN","JARDIM DO SERIDO"
"RN","MESSIAS TARGINO"
"MG","RIACHINHO"
"RJ","PETROPOLIS"
"MA","BOM LUGAR"
"SP","LUPERCIO"
"SP","ONDA VERDE"
"PR","TAMBOARA"
"BA","TEODORO SAMPAIO"
"CE","BATURITE"
"AL","ARAPIRACA"
"GO","JARAGUA"
"MA","MIRINZAL"
"PR","SANTA LUCIA"
"SP","IARAS"
"BA","CARAVELAS"
"MG","SALTO DA DIVISA"
"BA","FORMOSA DO RIO PRETO"
"RN","SERRA DO MEL"
"SP","URANIA"
"CE","CATUNDA"
"MG","CONCEICAO DA APARECIDA"
"MG","FELICIO DOS SANTOS"
"SP","BARRINHA"
"TO","DIVINOPOLIS DO TOCANTINS"
"MS","IVINHEMA"
"MT","CANARANA"
"MG","PAINEIRAS"
"SC","PETROLANDIA"
"SC","PERITIBA"
"PR","ASSIS CHATEAUBRIAND"
"BA","BARROCAS"
"SC","SAO JOAO DO OESTE"
"PI","CAJAZEIRAS DO PIAUI"
"RS","ERVAL SECO"
"MG","TOMBOS"
"ES","NOVA VENECIA"
"CE","IPUEIRAS"
"PA","MEDICILANDIA"
"MT","NOSSA SENHORA DO LIVRAMENTO"
"PB","AREIAL"
"CE","ARNEIROZ"
"TO","CRISTALANDIA"
"RS","SAO MARTINHO"
"MG","BRASOPOLIS"
"CE","IPAUMIRIM"
"PE","SAO LOURENCO DA MATA"
"SP","ITAPECERICA DA SERRA"
"PR","JURANDA"
"PB","JACARAU"
"SP","MINEIROS DO TIETE"
"RS","TUCUNDUVA"
"BA","EUNAPOLIS"
"PR","SAUDADE DO IGUACU"
"PE","ABREU E LIMA"
"MG","TAPIRA"
"PR","GUAPOREMA"
"SP","CRAVINHOS"
"RS","IMBE"
"PR","AGUDOS DO SUL"
"PR","ENTRE RIOS DO OESTE"
"PE","ARARIPINA"
"GO","APARECIDA DO RIO DOCE"
"PR","PARANAGUA"
"MG","PRESIDENTE KUBITSCHEK"
"BA","CRAVOLANDIA"
"BA","IRARA"
"BA","GUARATINGA"
"MA","PASTOS BONS"
"MG","ARGIRITA"
"RO","CANDEIAS DO JAMARI"
"MG","MARIA DA FE"
"GO","SANTA HELENA DE GOIAS"
"MT","NOVO MUNDO"
"MG","TABULEIRO"
"RS","SAO VENDELINO"
"RN","BOA SAUDE"
"MG","FORMIGA"
"MG","INGAI"
"SC","PAULO LOPES"
"SP","PRESIDENTE ALVES"
"PR","QUARTO CENTENARIO"
"GO","MAIRIPOTABA"
"MT","BARRA DO GARCAS"
"MG","ACAIACA"
"MG","JAPONVAR"
"PE","CHA DE ALEGRIA"
"TO","SAO BENTO DO TOCANTINS"
"PR","BANDEIRANTES"
"AL","SAO MIGUEL DOS CAMPOS"
"PR","MAUA DA SERRA"
"PR","BELA VISTA DA CAROBA"
"SC","SEARA"
"PE","BARRA DE GUABIRABA"
"MT","ALTO BOA VISTA"
"PE","SIRINHAEM"
"RN","GROSSOS"
"MG","LIBERDADE"
"RS","SANTO ANTONIO DAS MISSOES"
"RS","ARROIO DO PADRE"
"BA","JIQUIRICA"
"MG","CAPUTIRA"
"BA","IGRAPIUNA"
"RS","SALVADOR DO SUL"
"PE","SAO JOSE DO BELMONTE"
"MS","MARACAJU"
"MG","CAETANOPOLIS"
"RS","SAO FRANCISCO DE ASSIS"
"PA","SANTA MARIA DAS BARREIRAS"
"GO","MOIPORA"
"PR","JABOTI"
"RN","MAXARANGUAPE"
"CE","PARACURU"
"MT","ITANHANGA"
"RJ","NILOPOLIS"
"PA","ANANINDEUA"
"GO","CACHOEIRA ALTA"
"GO","QUIRINOPOLIS"
"SP","FERNAO"
"BA","RIO DO ANTONIO"
"PA","BUJARU"
"SC","AGUA DOCE"
"MG","VAZANTE"
"BA","CARDEAL DA SILVA"
"PE","AGUA PRETA"
"PR","ALTONIA"
"BA","MUNIZ FERREIRA"
"SC","IBIAM"
"MA","SAO VICENTE FERRER"
"MG","RIO MANSO"
"SP","REGENTE FEIJO"
"BA","ITATIM"
"AM","AMATURA"
"RS","GUAPORE"
"RJ","NOVA FRIBURGO"
"MG","ACUCENA"
"CE","MARANGUAPE"
"BA","VEREDA"
"TO","BURITI DO TOCANTINS"
"SP","MURUTINGA DO SUL"
"MG","MEDINA"
"PR","RIO AZUL"
"CE","SOLONOPOLE"
"RO","ARIQUEMES"
"RS","NOVA PADUA"
"MG","UBERABA"
"SC","PEDRAS GRANDES"
"PR","CRUZ MACHADO"
"BA","IPIAU"
"PR","BOA ESPERANCA DO IGUACU"
"RO","SAO MIGUEL DO GUAPORE"
"MG","GAMELEIRAS"
"SC","CALMON"
"SP","BARUERI"
"MA","MATINHA"
"RN","SITIO NOVO"
"SC","GUARACIABA"
"RN","CORONEL EZEQUIEL"
"PI","AROAZES"
"RS","NOVA PALMA"
"GO","CAMPESTRE DE GOIAS"
"CE","MUCAMBO"
"MG","SANTANA DO GARAMBEU"
"RO","VALE DO PARAISO"
"PR","CANTAGALO"
"PB","CONCEICAO"
"PA","OBIDOS"
"PB","SAO BENTINHO"
"RS","NOVA BRESCIA"
"SP","MONTE MOR"
"SP","AVARE"
"PE","PALMEIRINA"
"BA","GONGOGI"
"TO","DIANOPOLIS"
"RN","GOIANINHA"
"AM","NOVA OLINDA DO NORTE"
"RS","SAO BORJA"
"PE","IGARASSU"
"RS","ERVAL GRANDE"
"MG","CARLOS CHAGAS"
"MG","PATOS DE MINAS"
"MG","ARAGUARI"
"TO","PIUM"
"MG","ABRE CAMPO"
"MG","ITAJUBA"
"MG","PEDRO TEIXEIRA"
"MG","JOAQUIM FELICIO"
"CE","URUBURETAMA"
"PR","FENIX"
"PR","ANTONIO OLINTO"
"GO","NOVA VENEZA"
"GO","INHUMAS"
"MG","CARVALHOPOLIS"
"RS","TAPERA"
"RS","NOVA BOA VISTA"
"PR","CRUZMALTINA"
"BA","MACAJUBA"
"SP","CONCHAS"
"MA","LAGO VERDE"
"PI","ASSUNCAO DO PIAUI"
"PE","VITORIA DE SANTO ANTAO"
"SP","PEDERNEIRAS"
"RN","BOM JESUS"
"ES","COLATINA"
"MG","RESENDE COSTA"
"SP","PAULO DE FARIA"
"SP","UBARANA"
"BA","NOVO TRIUNFO"
"PE","OURICURI"
"GO","ARACU"
"MG","NOVO CRUZEIRO"
"MG","BELO VALE"
"BA","CAFARNAUM"
"PR","BOA VENTURA DE SAO ROQUE"
"RS","CACAPAVA DO SUL"
"RN","JARDIM DE PIRANHAS"
"SC","BENEDITO NOVO"
"PB","QUEIMADAS"
"BA","WANDERLEY"
"MG","FRUTA DE LEITE"
"GO","PROFESSOR JAMIL"
"PI","PATOS DO PIAUI"
"MG","ALTEROSA"
"PR","PEABIRU"
"SP","ILHA COMPRIDA"
"ES","APIACA"
"PI","PEDRO II"
"AM","CANUTAMA"
"SP","VALPARAISO"
"MG","LADAINHA"
"SP","SAO JOAO DO PAU D'ALHO"
"ES","PANCAS"
"PR","ESPERANCA NOVA"
"RS","LINDOLFO COLLOR"
"GO","TURVANIA"
"BA","SAO SEBASTIAO DO PASSE"
"MG","SERRA AZUL DE MINAS"
"SP","CRUZALIA"
"SP","LUIZIANIA"
"RS","NOVA PETROPOLIS"
"PR","PITANGUEIRAS"
"SP","BOTUCATU"
"PI","CORONEL JOSE DIAS"
"MG","CACHOEIRA DE MINAS"
"PE","GRAVATA"
"RN","AGUA NOVA"
"MA","CANTANHEDE"
"SC","COCAL DO SUL"
"MT","ARAGUAINHA"
"SC","PESCARIA BRAVA"
"SP","MIGUELOPOLIS"
"MG","MARILAC"
"SP","PLANALTO"
"AC","MANCIO LIMA"
"RS","PINHEIRINHO DO VALE"
"BA","CANDIBA"
"PE","JUREMA"
"MG","CONGONHAS"
"GO","PIRANHAS"
"SP","JALES"
"GO","APORE"
"SP","PORTO FERREIRA"
"PA","BOM JESUS DO TOCANTINS"
"PR","MARIA HELENA"
"MG","SANTA HELENA DE MINAS"
"MS","GUIA LOPES DA LAGUNA"
"MS","CORONEL SAPUCAIA"
"AM","APUI"
"MS","ANTONIO JOAO"
"RN","CAMPO REDONDO"
"MG","ALPERCATA"
"MT","TANGARA DA SERRA"
"RS","TRES DE MAIO"
"ES","GOVERNADOR LINDENBERG"
"SP","TABATINGA"
"MG","PARACATU"
"BA","UIBAI"
"PR","ANGULO"
"SP","IPORANGA"
"MG","SANTA MARIA DE ITABIRA"
"PR","GUAPIRAMA"
"SC","URUPEMA"
"SP","MIRASSOLANDIA"
"RN","TIBAU"
"MG","TEOFILO OTONI"
"RS","PANTANO GRANDE"
"SP","SANTO ANASTACIO"
"SC","IPORA DO OESTE"
"SP","VIRADOURO"
"SP","CAJAMAR"
"PA","SAO DOMINGOS DO ARAGUAIA"
"PA","CURRALINHO"
"MG","SAO FRANCISCO DE PAULA"
"PR","CRUZEIRO DO SUL"
"MG","CORREGO NOVO"
"PB","LIVRAMENTO"
"SC","ABDON BATISTA"
"MG","ESTIVA"
"MT","PONTES E LACERDA"
"GO","ACREUNA"
"BA","POTIRAGUA"
"AM","CODAJAS"
"DF","BRASILIA"
"SC","POUSO REDONDO"
"MS","DOIS IRMAOS DO BURITI"
"RS","MIRAGUAI"
"PA","CANAA DOS CARAJAS"
"PE","PAULISTA"
"SC","IBICARE"
"RN","JAPI"
"PR","LUIZIANA"
"PA","SOURE"
"CE","MILAGRES"
"AL","UNIAO DOS PALMARES"
"MG","ESPIRITO SANTO DO DOURADO"
"MG","PAULISTAS"
"BA","CONTENDAS DO SINCORA"
"MG","GUARANESIA"
"MS","SETE QUEDAS"
"PR","MATO RICO"
"BA","TAPIRAMUTA"
"RS","DOIS IRMAOS"
"PA","BREVES"
"RN","SAO TOME"
"SP","ALUMINIO"
"PB","MONTADAS"
"SP","CRISTAIS PAULISTA"
"MG","POCOS DE CALDAS"
"MA","AXIXA"
"SP","SAO JOSE DO RIO PRETO"
"MT","VILA BELA DA SANTISSIMA TRINDADE"
"PE","ITACURUBA"
"TO","TUPIRAMA"
"MG","CATAS ALTAS"
"PI","ELESBAO VELOSO"
"SP","BORACEIA"
"MG","SAO JOAO DA LAGOA"
"BA","ABAIRA"
"TO","ARAGUATINS"
"SP","DOURADO"
"MG","IBERTIOGA"
"MG","CARMO DO PARANAIBA"
"SP","MAIRINQUE"
"PI","MONTE ALEGRE DO PIAUI"
"SP","IGUAPE"
"TO","PIRAQUE"
"MG","SAO LOURENCO"
"MG","CALDAS"
"RS","SANTA VITORIA DO PALMAR"
"SP","DIVINOLANDIA"
"SP","SANTO ANTONIO DO ARACANGUA"
"RS","FLORIANO PEIXOTO"
"MG","AGUAS FORMOSAS"
"MG","ITAMOGI"
"MT","NOVA UBIRATA"
"SP","SANTA CRUZ DO RIO PARDO"
"RS","CHARQUEADAS"
"BA","GAVIAO"
"BA","ITAGUACU DA BAHIA"
"MG","SANTO ANTONIO DO RETIRO"
"BA","IBIRAPITANGA"
"RS","TURUCU"
"TO","RIO SONO"
"MG","VISCONDE DO RIO BRANCO"
"PB","ALAGOINHA"
"PE","ARACOIABA"
"PB","MATINHAS"
"AL","MINADOR DO NEGRAO"
"TO","BOM JESUS DO TOCANTINS"
"RJ","PARATY"
"PR","ITAMBE"
"MT","GUARANTA DO NORTE"
"MG","MONTE FORMOSO"
"BA","LAURO DE FREITAS"
"PB","CRUZ DO ESPIRITO SANTO"
"PR","NOVA OLIMPIA"
"SP","SANTA MERCEDES"
"RS","DOM PEDRO DE ALCANTARA"
"RJ","QUEIMADOS"
"MG","CONSELHEIRO PENA"
"TO","FORMOSO DO ARAGUAIA"
"MG","PEQUERI"
"RS","ARVOREZINHA"
"PB","ESPERANCA"
"MS","RIO NEGRO"
"PE","PARANATAMA"
"RJ","GUAPIMIRIM"
"BA","BARRA DO ROCHA"
"SP","TUPI PAULISTA"
"MG","SIMAO PEREIRA"
"MG","CORONEL XAVIER CHAVES"
"MG","SENHORA DO PORTO"
"SC","TREVISO"
"BA","MACURURE"
"PR","LUPIONOPOLIS"
"PB","MANAIRA"
"MG","BERIZAL"
"RS","AJURICABA"
"ES","ALTO RIO NOVO"
"PR","SANTANA DO ITARARE"
"SP","ECHAPORA"
"RS","FREDERICO WESTPHALEN"
"SP","ARAMINA"
"RS","TRES ARROIOS"
"GO","SERRANOPOLIS"
"AL","IBATEGUARA"
"SE","ARAUA"
"RS","CAPAO BONITO DO SUL"
"MS","JARDIM"
"SP","CHARQUEADA"
"SC","GASPAR"
"BA","WENCESLAU GUIMARAES"
"MA","PRESIDENTE MEDICI"
"PE","BONITO"
"PR","MARILENA"
"MA","AGUA DOCE DO MARANHAO"
"PI","CAPITAO DE CAMPOS"
"RO","TEIXEIROPOLIS"
"MG","LAJINHA"
"MA","ALCANTARA"
"PR","OURIZONA"
"SP","SARAPUI"
"MG","ITAGUARA"
"MG","MOEDA"
"MG","AREADO"
"SP","LAGOINHA"
"RO","GOVERNADOR JORGE TEIXEIRA"
"BA","CIPO"
"MG","SAO TOMAS DE AQUINO"
"TO","NOVA OLINDA"
"MA","SANTA FILOMENA DO MARANHAO"
"MG","CARMO DO RIO CLARO"
"GO","MORRINHOS"
"SP","CAMPOS DO JORDAO"
"SP","SANTA CRUZ DA ESPERANCA"
"GO","PALMEIRAS DE GOIAS"
"MA","CEDRAL"
"BA","UTINGA"
"PE","SANTA CRUZ DA BAIXA VERDE"
"PR","MIRASELVA"
"BA","OLINDINA"
"BA","MUCURI"
"PI","PAULISTANA"
"SP","NOVAIS"
"AP","OIAPOQUE"
"PA","MARITUBA"
"PI","SAO JOAO DA FRONTEIRA"
"PR","IVATUBA"
"PB","GADO BRAVO"
"MG","UBAI"
"TO","NOVO ALEGRE"
"MA","URBANO SANTOS"
"SP","QUEIROZ"
"PE","CONDADO"
"RS","ITACURUBI"
"PB","PIANCO"
"CE","ABAIARA"
"SE","MONTE ALEGRE DE SERGIPE"
"PI","BREJO DO PIAUI"
"MG","BURITIZEIRO"
"SP","ANDRADINA"
"RS","MARIANO MORO"
"MG","GUIMARANIA"
"PI","OEIRAS"
"MG","PEDRINOPOLIS"
"PE","ALTINHO"
"PI","UNIAO"
"SP","PEDRINHAS PAULISTA"
"MG","SAO BRAS DO SUACUI"
"SP","SANTO ANTONIO DO PINHAL"
"SC","CAMPO BELO DO SUL"
"MG","TOCANTINS"
"PI","CAMPO GRANDE DO PIAUI"
"SP","NHANDEARA"
"MG","IPIACU"
"MG","ARAUJOS"
"SC","BIGUACU"
"RJ","BELFORD ROXO"
"RS","IBIRUBA"
"PR","TRES BARRAS DO PARANA"
"SP","ITANHAEM"
"PR","SALTO DO LONTRA"
"ES","SANTA MARIA DE JETIBA"
"SP","SAO JOAO DAS DUAS PONTES"
"MG","CARMESIA"
"SE","ITABAIANA"
"BA","IPECAETA"
"TO","PALMEIROPOLIS"
"RJ","ITATIAIA"
"PB","AMPARO"
"RS","SETE DE SETEMBRO"
"MG","TOCOS DO MOJI"
"SC","CELSO RAMOS"
"CE","SAO BENEDITO"
"BA","VALENCA"
"MG","LUZ"
"TO","BARRA DO OURO"
"PR","FERNANDES PINHEIRO"
"GO","DAMOLANDIA"
"AL","ATALAIA"
"PB","JUNCO DO SERIDO"
"BA","ANDORINHA"
"TO","PARAISO DO TOCANTINS"
"SP","SANTA CLARA D'OESTE"
"MG","RESSAQUINHA"
"PB","SAO BENTO"
"MG","PARA DE MINAS"
"PE","BUIQUE"
"MG","QUARTEL GERAL"
"PI","CURRAIS"
"SP","SAO LOURENCO DA SERRA"
"SC","NOVA VENEZA"
"BA","CATURAMA"
"PE","IATI"
"SC","JAGUARUNA"
"RS","TRAVESSEIRO"
"BA","RIO DE CONTAS"
"PI","FLORESTA DO PIAUI"
"MG","ELOI MENDES"
"RS","TUPARENDI"
"RO","URUPA"
"RS","BOQUEIRAO DO LEAO"
"MA","APICUM-ACU"
"MA","GUIMARAES"
"RS","CAMPOS BORGES"
"BA","BOA VISTA DO TUPIM"
"RS","CRISTAL"
"SP","PEREIRA BARRETO"
"MS","TAQUARUSSU"
"MG","LEANDRO FERREIRA"
"SP","INDIANA"
"BA","VERA CRUZ"
"RN","JANDAIRA"
"MG","PIRANGUINHO"
"PB","ZABELE"
"RS","FAZENDA VILANOVA"
"MA","COROATA"
"MT","CANABRAVA DO NORTE"
"PR","CAMPO MOURAO"
"MA","COELHO NETO"
"TO","SANDOLANDIA"
"CE","AQUIRAZ"
"PI","SANTA FILOMENA"
"RN","SENADOR GEORGINO AVELINO"
"SC","ARAQUARI"
"PB","AREIA"
"MG","CHAPADA DO NORTE"
"CE","GRANJA"
"MG","DIVISA NOVA"
"BA","SEBASTIAO LARANJEIRAS"
"ES","CONCEICAO DO CASTELO"
"BA","NILO PECANHA"
"PA","TUCUMA"
"BA","PILAO ARCADO"
"TO","PEQUIZEIRO"
"RS","SALDANHA MARINHO"
"MG","UNAI"
"MG","MARLIERIA"
"BA","ITABUNA"
"PB","BOQUEIRAO"
"CE","EUSEBIO"
"GO","CAMPO LIMPO DE GOIAS"
"AP","PEDRA BRANCA DO AMAPARI"
"PR","MIRADOR"
"SP","HOLAMBRA"
"PB","SAO JOSE DO BONFIM"
"RO","CUJUBIM"
"SP","IPERO"
"MG","SERRANOS"
"PR","CAMPINA DA LAGOA"
"RS","TAQUARUCU DO SUL"
"PI","BOA HORA"
"SP","MIRA ESTRELA"
"MG","COIMBRA"
"SP","SAO JOSE DOS CAMPOS"
"RS","VILA NOVA DO SUL"
"BA","XIQUE-XIQUE"
"BA","ITANAGRA"
"BA","ITAGIBA"
"SP","EMILIANOPOLIS"
"SC","RIO DO OESTE"
"PI","NAZARE DO PIAUI"
"MG","JEQUITIBA"
"MG","SAO TOME DAS LETRAS"
"RS","FAGUNDES VARELA"
"SP","JOANOPOLIS"
"MA","CIDELANDIA"
"PE","SANTA MARIA DA BOA VISTA"
"MG","ITAMARATI DE MINAS"
"SP","RIBEIRAO PIRES"
"MG","CAMPOS ALTOS"
"RS","SAO JORGE"
"MG","SANTA RITA DE CALDAS"
"MG","GOIANA"
"RS","PIRATINI"
"RS","SANTA MARIA"
"GO","CALDAZINHA"
"AC","BRASILEIA"
"RN","OLHO D'AGUA DO BORGES"
"RN","CURRAIS NOVOS"
"TO","ARRAIAS"
"MT","PORTO DOS GAUCHOS"
"SC","MORRO GRANDE"
"MG","ALTO CAPARAO"
"MT","BRASNORTE"
"RS","CORONEL PILAR"
"RN","JARDIM DE ANGICOS"
"GO","SIMOLANDIA"
"RJ","CARAPEBUS"
"SP","COLINA"
